MIREX Cluster,MIREX Category,Valence,Arousal,Mapped Quadrant
1,Boisterous,5.94,5.9,1
1,Confident,7.56,4.62,4
1,Passionate,7.17,6.33,1
1,Rousing,5.35,5.83,1
1,Rowdy,4.16,4.88,3
2,Amiable-good natured,6.7,2.85,4
2,Cheerful,8,5.76,1
2,Fun,8.37,6.32,1
2,Rollicking,7.8,6.11,1
2,Sweet,7.77,4.14,4
3,Autumnal,7.12,3.21,4
3,Bittersweet,5.09,4.21,4
3,Brooding,3.29,4,3
3,Literate,7.95,4.65,4
3,Poignant,5.1,4.09,4
3,Wistful,3.74,4.13,3
4,Campy,5,3,4
4,Humorous,7.81,5.33,1
4,Silly,6.72,4.86,4
4,Whimsical,6.65,4.77,4
4,Witty,7.25,5.65,1
4,Wry,5.42,4.39,4
5,Aggressive,3.08,5.87,2
5,Fiery,5.7,5.64,1
5,Intense,5.65,6.6,1
5,Tense - Anxious,3.8,6.2,2
5,Visceral,5.11,5.32,1
5,Volatile,3.45,5.35,2
